rain_band,fclass,tod,n,mean_deviation,sd,ci_low,ci_high,pct_speed_loss,dry_reference,delta_vs_none_pct
moderate,primary,evening,1664,-0.017543352963308115,0.1726809204892882,-0.02584025167941529,-0.00924645424720094,-1.75,-0.009634244810942365,-0.791
moderate,primary,midday,1874,-0.005722473539152975,0.20187523892649592,-0.014862476887817482,0.0034175298095115323,-0.57,-0.002340929296193947,-0.338
moderate,primary,night,993,-0.08337168862681058,0.31078087536688354,-0.10270150622042812,-0.06404187103319303,-8.34,-0.046461815630724435,-3.691
moderate,primary,pm_peak,1980,0.011716322978825104,0.3565488539884714,-0.003988554195885239,0.027421200153535448,1.17,-0.054614802725694495,6.633
moderate,secondary,am_peak,1356,-0.006773661623322898,0.15320084865506692,-0.014927825225961176,0.0013805019793153806,-0.68,-0.004620077455948731,-0.215
moderate,secondary,evening,936,-0.00014572107270348095,0.1371661288204194,-0.008933053414758606,0.008641611269351646,-0.01,-0.021024958192257952,2.088
moderate,secondary,midday,1581,0.02088873082638276,0.13981829670913093,0.013996716577571077,0.02778074507519444,2.09,-0.001018101948377915,2.191
moderate,secondary,night,1096,-0.026747754178565397,0.16259450058334254,-0.036373816515616886,-0.01712169184151391,-2.67,-0.02954653265092356,0.28
moderate,secondary,pm_peak,1607,0.0007599416333004529,0.20550346472729714,-0.009287588200763875,0.01080747146736478,0.08,0.0035346538619222905,-0.277
moderate,secondary_link,am_peak,72,-0.02504415484151383,0.09853553617589793,-0.04780428442446333,-0.002284025258564335,-2.5,-0.09976834475800568,7.472
moderate,secondary_link,evening,156,-0.0280438077706485,0.21419247272835396,-0.061655470714833634,0.005567855173536633,-2.8,-0.05136596525289333,2.332
moderate,secondary_link,midday,96,-0.06930498097675478,0.14548299663560546,-0.09840710692543524,-0.040202855028074316,-6.93,0.0018502754999966356,-7.116
moderate,secondary_link,pm_peak,119,0.044006935341514127,0.3823176237574935,-0.024683921219352693,0.11269779190238094,4.4,-0.059633051074282406,10.364
moderate,tertiary,am_peak,520,-0.048491345594750844,0.17307951994016177,-0.06336754888559547,-0.03361514230390622,-4.85,-0.054849298359946,0.636
moderate,tertiary,evening,710,-0.007636692376558973,0.16412972767743889,-0.019709441308012835,0.004436056554894889,-0.76,-0.033473297794447014,2.584
